ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh
1,CA_N_batteries_1,1,2653.8,2653.8,0,1.837675226,13661.48625,2.108483322
2,CA_N_biomass_1,1,0,236.2,-236.2,0,0,0
3,CA_N_conventional_hydroelectric_1,1,0,7519.1,-7519.1,0,0,0
4,CA_N_geothermal_1,1,0,987.4,-987.4,0,0,0
5,CA_N_hydroelectric_pumped_storage_1,1,1348.748292,2276.9,-928.1517083,0.933966886,6197.239138,0.956468068
6,CA_N_natural_gas_fired_combined_cycle_1,1,1380.574146,11409.7,-10029.12585,0.956005315,478.8028322,0.073897361
7,CA_N_natural_gas_fired_combustion_turbine_1,1,298.6422006,4732.2,-4433.557799,0.206800578,408.014254,0.06297201
8,CA_N_natural_gas_steam_turbine_1,1,0,2.9,-2.9,0,0,0
9,CA_N_onshore_wind_turbine_1,1,0,1473.5,-1473.5,0,0,0
10,CA_N_other_peaker_1,1,26.20580851,786,-759.7941915,0.01814672,65.83909592,0.010161459
11,CA_N_small_hydroelectric_1,1,227.3,227.3,0,0.157398289,1221.902564,0.188585717
12,CA_N_solar_photovoltaic_1,1,0,6333.4,-6333.4,0,0,0
13,CA_S_batteries_1,2,9806.2,9806.2,0,6.79049318,36596.63045,5.648242331
14,CA_S_biomass_1,2,0,181.4,-181.4,0,0,0
15,CA_S_conventional_hydroelectric_1,2,0,1346.4,-1346.4,0,0,0
16,CA_S_conventional_steam_coal_1,2,0,57,-57,0,0,0
17,CA_S_geothermal_1,2,0,1093,-1093,0,0,0
18,CA_S_hydroelectric_pumped_storage_1,2,1665,1665,0,1.152961508,6843.535527,1.056216012
19,CA_S_natural_gas_fired_combined_cycle_1,2,2314.687643,10043,-7728.312357,1.602850304,263.140223,0.040612475
20,CA_S_natural_gas_fired_combustion_turbine_1,2,404.5538499,6952.2,-6547.64615,0.280141151,245.1304161,0.037832882
21,CA_S_natural_gas_steam_turbine_1,2,0,2942,-2942,0,0,0
22,CA_S_onshore_wind_turbine_1,2,0,4793.4,-4793.4,0,0,0
23,CA_S_other_peaker_1,2,35.42629753,115.1,-79.67370247,0.024531626,93.16277187,0.014378534
24,CA_S_small_hydroelectric_1,2,120.3,120.3,0,0.083304066,489.1572497,0.075495439
25,CA_S_solar_photovoltaic_1,2,0,15583.1,-15583.1,0,0,0
26,CA_N_naturalgas_ccccsavgcf_conservative_0,1,0,0,0,0,0,0
27,CA_N_naturalgas_ccavgcf_moderate_0,1,0,0,0,0,0,0
28,CA_N_naturalgas_ctavgcf_moderate_0,1,0,0,0,0,0,0
29,CA_N_battery_moderate_0,1,0,0,0,0,2.73E-15,4.21E-19
30,CA_N_nuclear_nuclear_moderate_0,1,0,0,0,0,0,0
31,CA_N_landbasedwind_class3_moderate_1,1,0,0,0,0,0,0
32,CA_N_landbasedwind_class3_moderate_2,1,0,0,0,0,0,0
33,CA_N_landbasedwind_class3_moderate_3,1,0,0,0,0,0,0
34,CA_N_landbasedwind_class3_moderate_4,1,0,0,0,0,0,0
35,CA_N_landbasedwind_class3_moderate_5,1,0,0,0,0,0,0
36,CA_N_landbasedwind_class3_moderate_6,1,0,0,0,0,0,0
37,CA_N_utilitypv_class1_moderate_1,1,0,0,0,0,0,0
38,CA_N_utilitypv_class1_moderate_2,1,7238.42375,0,7238.42375,5.012386766,62764.14255,9.686877795
39,CA_N_utilitypv_class1_moderate_3,1,0,0,0,0,0,0
40,CA_N_utilitypv_class1_moderate_4,1,0,0,0,0,0,0
41,CA_N_utilitypv_class1_moderate_5,1,0,0,0,0,0,0
42,CA_N_utilitypv_class1_moderate_6,1,0,0,0,0,0,0
43,CA_N_offshorewind_class12_moderate_floating_1_0,1,0,0,0,0,0,0
44,CA_N_offshorewind_class12_moderate_floating_1_1,1,0,0,0,0,0,0
45,CA_N_offshorewind_class12_moderate_floating_1_2,1,0,0,0,0,0,0
46,CA_N_offshorewind_class12_moderate_floating_1_3,1,0,0,0,0,0,0
47,CA_N_offshorewind_class12_moderate_floating_0_0,1,0,0,0,0,0,0
48,CA_N_offshorewind_class12_moderate_floating_0_1,1,0,0,0,0,0,0
49,CA_N_offshorewind_class12_moderate_floating_0_2,1,0,0,0,0,0,0
50,CA_N_offshorewind_class12_moderate_floating_0_3,1,0,0,0,0,0,0
51,CA_S_naturalgas_ccccsavgcf_conservative_0,2,0,0,0,0,0,0
52,CA_S_naturalgas_ccavgcf_moderate_0,2,0,0,0,0,0,0
53,CA_S_naturalgas_ctavgcf_moderate_0,2,0,0,0,0,0,0
54,CA_S_battery_moderate_0,2,0,0,0,0,0,0
55,CA_S_nuclear_nuclear_moderate_0,2,0,0,0,0,0,0
56,CA_S_landbasedwind_class3_moderate_1,2,0,0,0,0,0,0
57,CA_S_landbasedwind_class3_moderate_2,2,0,0,0,0,0,0
58,CA_S_landbasedwind_class3_moderate_3,2,0,0,0,0,0,0
59,CA_S_landbasedwind_class3_moderate_4,2,0,0,0,0,0,0
60,CA_S_landbasedwind_class3_moderate_5,2,0,0,0,0,0,0
61,CA_S_landbasedwind_class3_moderate_6,2,0,0,0,0,0,0
62,CA_S_utilitypv_class1_moderate_1,2,17418.48859,0,17418.48859,12.0617699,150019.9388,23.15374281
63,CA_S_utilitypv_class1_moderate_2,2,0,0,0,0,0,0
64,CA_S_utilitypv_class1_moderate_3,2,0,0,0,0,0,0
65,CA_S_utilitypv_class1_moderate_4,2,0,0,0,0,0,0
66,CA_S_utilitypv_class1_moderate_5,2,0,0,0,0,0,0
67,CA_S_utilitypv_class1_moderate_6,2,0,0,0,0,0,0
68,CA_S_offshorewind_class12_moderate_floating_1_0,2,0,0,0,0,0,0
69,CA_S_offshorewind_class12_moderate_floating_1_1,2,0,0,0,0,0,0
70,CA_S_offshorewind_class12_moderate_floating_1_4,2,0,0,0,0,0,0
71,CA_S_offshorewind_class12_moderate_floating_1_5,2,0,0,0,0,0,0
72,CA_S_offshorewind_class12_moderate_floating_0_0,2,0,0,0,0,0,0
73,CA_S_offshorewind_class12_moderate_floating_0_1,2,0,0,0,0,0,0
74,CA_S_offshorewind_class12_moderate_floating_0_4,2,0,0,0,0,0,0
75,CA_S_offshorewind_class12_moderate_floating_0_5,2,0,0,0,0,0,0
,,,,,,,,
,,,,,,,279348.1222,