ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh
1,CA_N_batteries_1,1,2653.8,2653.8,0.0,3.675725089337655,12414.484165074375,3.832438234820495
2,CA_N_biomass_1,1,1.7699999999999918,236.2,-234.43,0.0024515914568270475,0.0,0.0
3,CA_N_conventional_hydroelectric_1,1,0.0,7519.1,-7519.1,0.0,0.0,0.0
4,CA_N_geothermal_1,1,0.0,987.4,-987.4,0.0,0.0,0.0
5,CA_N_hydroelectric_pumped_storage_1,1,487.52145555555103,2276.9,-1789.378544444449,0.6752561782259218,1726.3917121500472,0.532949216249729
6,CA_N_natural_gas_fired_combined_cycle_1,1,7878.120000000001,11409.7,-3531.58,10.911825812349374,5011.4661137596,1.547074698513219
7,CA_N_natural_gas_fired_combustion_turbine_1,1,788.4,4732.2,-3943.7999999999997,1.0919970082273747,53.1321623860079,0.016402270760446706
8,CA_N_natural_gas_steam_turbine_1,1,0.0,2.9,-2.9,0.0,0.0,0.0
9,CA_N_onshore_wind_turbine_1,1,0.0,1473.5,-1473.5,0.0,0.0,0.0
10,CA_N_other_peaker_1,1,0.1499999999998863,786.0,-785.8500000000001,0.00020776198786654247,0.0,0.0
11,CA_N_small_hydroelectric_1,1,227.3,227.3,0.0,0.31482866561400596,1923.809870619393,0.593893584836085
12,CA_N_solar_photovoltaic_1,1,6333.4,6333.4,0.0,8.772265159699714,14019.491566497094,4.327915263957731
13,CA_S_batteries_1,2,7675.619726007869,9806.2,-2130.580273992132,10.63134674922833,36064.07172611865,11.1332315985646
14,CA_S_biomass_1,2,2.0,181.4,-179.4,0.0027701598382226652,0.0,0.0
15,CA_S_conventional_hydroelectric_1,2,0.0,1346.4,-1346.4,0.0,0.0,0.0
16,CA_S_conventional_steam_coal_1,2,0.0,57.0,-57.0,0.0,0.0,0.0
17,CA_S_geothermal_1,2,0.0,1093.0,-1093.0,0.0,0.0,0.0
18,CA_S_hydroelectric_pumped_storage_1,2,7.582626397450391,1665.0,-1657.4173736025496,0.010502543557232045,10.232400002392762,0.0031588135666136565
19,CA_S_natural_gas_fired_combined_cycle_1,2,5533.88,10043.0,-4509.12,7.6648660627718215,1110.0540029571555,0.34268144749959967
20,CA_S_natural_gas_fired_combustion_turbine_1,2,1455.0799999999995,6952.2,-5497.120000000001,2.015402088700517,62.00567943407059,0.019141587639032714
21,CA_S_natural_gas_steam_turbine_1,2,173.03999999999996,2942.0,-2768.96,0.23967422920302497,0.0,0.0
22,CA_S_onshore_wind_turbine_1,2,0.0,4793.4,-4793.4,0.0,0.0,0.0
23,CA_S_other_peaker_1,2,0.07999999999998675,115.1,-115.02000000000001,0.00011080639352888826,0.0,0.0
24,CA_S_small_hydroelectric_1,2,120.3,120.3,0.0,0.16662511426909332,1040.1962899840862,0.32111588209751096
25,CA_S_solar_photovoltaic_1,2,15583.1,15583.1,0.0,21.58383888750381,32964.2370641384,10.1762909216723
26,CA_N_naturalgas_ccccsavgcf_conservative_0,1,0.0,0.0,0.0,0.0,0.0,0.0
27,CA_N_naturalgas_ccavgcf_moderate_0,1,0.0,0.0,0.0,0.0,0.0,0.0
28,CA_N_naturalgas_ctavgcf_moderate_0,1,0.0,0.0,0.0,0.0,0.0,0.0
29,CA_N_battery_moderate_0,1,0.0,0.0,0.0,0.0,0.0,0.0
30,CA_N_nuclear_nuclear_moderate_0,1,0.0,0.0,0.0,0.0,0.0,0.0
31,CA_N_landbasedwind_class3_moderate_1,1,0.0,0.0,0.0,0.0,0.0,0.0
32,CA_N_landbasedwind_class3_moderate_2,1,0.0,0.0,0.0,0.0,0.0,0.0
33,CA_N_landbasedwind_class3_moderate_3,1,0.0,0.0,0.0,0.0,0.0,0.0
34,CA_N_landbasedwind_class3_moderate_4,1,0.0,0.0,0.0,0.0,0.0,0.0
35,CA_N_landbasedwind_class3_moderate_5,1,0.0,0.0,0.0,0.0,0.0,0.0
36,CA_N_landbasedwind_class3_moderate_6,1,0.0,0.0,0.0,0.0,0.0,0.0
37,CA_N_utilitypv_class1_moderate_1,1,0.0,0.0,0.0,0.0,0.0,0.0
38,CA_N_utilitypv_class1_moderate_2,1,10419.178544444441,0.0,10419.178544444441,14.431394975545638,90738.20866084655,28.01152070492533
39,CA_N_utilitypv_class1_moderate_3,1,0.0,0.0,0.0,0.0,0.0,0.0
40,CA_N_utilitypv_class1_moderate_4,1,0.0,0.0,0.0,0.0,0.0,0.0
41,CA_N_utilitypv_class1_moderate_5,1,0.0,0.0,0.0,0.0,0.0,0.0
42,CA_N_utilitypv_class1_moderate_6,1,0.0,0.0,0.0,0.0,0.0,0.0
43,CA_N_offshorewind_class12_moderate_floating_1_0,1,0.0,0.0,0.0,0.0,0.0,0.0
44,CA_N_offshorewind_class12_moderate_floating_1_1,1,0.0,0.0,0.0,0.0,0.0,0.0
45,CA_N_offshorewind_class12_moderate_floating_1_2,1,0.0,0.0,0.0,0.0,0.0,0.0
46,CA_N_offshorewind_class12_moderate_floating_1_3,1,0.0,0.0,0.0,0.0,0.0,0.0
47,CA_N_offshorewind_class12_moderate_floating_0_0,1,0.0,0.0,0.0,0.0,0.0,0.0
48,CA_N_offshorewind_class12_moderate_floating_0_1,1,0.0,0.0,0.0,0.0,0.0,0.0
49,CA_N_offshorewind_class12_moderate_floating_0_2,1,0.0,0.0,0.0,0.0,0.0,0.0
50,CA_N_offshorewind_class12_moderate_floating_0_3,1,0.0,0.0,0.0,0.0,0.0,0.0
51,CA_S_naturalgas_ccccsavgcf_conservative_0,2,0.0,0.0,0.0,0.0,0.0,0.0
52,CA_S_naturalgas_ccavgcf_moderate_0,2,0.0,0.0,0.0,0.0,0.0,0.0
53,CA_S_naturalgas_ctavgcf_moderate_0,2,0.0,0.0,0.0,0.0,0.0,0.0
54,CA_S_battery_moderate_0,2,0.0,0.0,0.0,0.0,0.0,0.0
55,CA_S_nuclear_nuclear_moderate_0,2,0.0,0.0,0.0,0.0,0.0,0.0
56,CA_S_landbasedwind_class3_moderate_1,2,0.0,0.0,0.0,0.0,0.0,0.0
57,CA_S_landbasedwind_class3_moderate_2,2,0.0,0.0,0.0,0.0,0.0,0.0
58,CA_S_landbasedwind_class3_moderate_3,2,0.0,0.0,0.0,0.0,0.0,0.0
59,CA_S_landbasedwind_class3_moderate_4,2,0.0,0.0,0.0,0.0,0.0,0.0
60,CA_S_landbasedwind_class3_moderate_5,2,0.0,0.0,0.0,0.0,0.0,0.0
61,CA_S_landbasedwind_class3_moderate_6,2,0.0,0.0,0.0,0.0,0.0,0.0
62,CA_S_utilitypv_class1_moderate_1,2,24896.25054759469,0.0,24896.25054759469,34.48329669463793,186376.9317027241,57.53586453116788
63,CA_S_utilitypv_class1_moderate_2,2,0.0,0.0,0.0,0.0,0.0,0.0
64,CA_S_utilitypv_class1_moderate_3,2,0.0,0.0,0.0,0.0,0.0,0.0
65,CA_S_utilitypv_class1_moderate_4,2,0.0,0.0,0.0,0.0,0.0,0.0
66,CA_S_utilitypv_class1_moderate_5,2,0.0,0.0,0.0,0.0,0.0,0.0
67,CA_S_utilitypv_class1_moderate_6,2,0.0,0.0,0.0,0.0,0.0,0.0
68,CA_S_offshorewind_class12_moderate_floating_1_0,2,0.0,0.0,0.0,0.0,0.0,0.0
69,CA_S_offshorewind_class12_moderate_floating_1_1,2,0.0,0.0,0.0,0.0,0.0,0.0
70,CA_S_offshorewind_class12_moderate_floating_1_4,2,0.0,0.0,0.0,0.0,0.0,0.0
71,CA_S_offshorewind_class12_moderate_floating_1_5,2,0.0,0.0,0.0,0.0,0.0,0.0
72,CA_S_offshorewind_class12_moderate_floating_0_0,2,0.0,0.0,0.0,0.0,0.0,0.0
73,CA_S_offshorewind_class12_moderate_floating_0_1,2,0.0,0.0,0.0,0.0,0.0,0.0
74,CA_S_offshorewind_class12_moderate_floating_0_4,2,0.0,0.0,0.0,0.0,0.0,0.0
75,CA_S_offshorewind_class12_moderate_floating_0_5,2,0.0,0.0,0.0,0.0,0.0,0.0
